element	deltaR	Peak1width_ratio	Peak2Pos_ratio	Peak2width_ratio	Nei1stShell	Nei2ndShell	F3	F4	F5	F6	Q4_1stShell	Q6_1stShell	Q4_Voro	Q6_Voro	Cavity1stPeak	CavityIonicR	PackingE_1stPeak	PackingE_IonicR	f_other	f_fcc	f_hcp	f_bcc	f_ico
Be	0.01414	0.20615	1.79229	0.43887	12.117	43.318	0.02581	0.16077	0.52777	0.28564	0.04231	0.23663	0.06495	0.23615	0.01718	0.01413	0.8498	0.88283	0.23375	0.10125	0.31563	0.25188	0.0975
Mg	0.01411	0.1982	1.80204	0.44203	12.576	43.317	0.03108	0.1711	0.50906	0.28877	0.0396	0.17697	0.06708	0.17899	0.00875	0.00701	0.67927	0.69777	0.249	0.084	0.381	0.2395	0.0465
Al	0.0206	0.17656	1.76809	0.43981	11.177	42.686	0.03523	0.18731	0.47476	0.30271	0.06323	0.21131	0.07128	0.18789	0.01302	0.00955	0.6696	0.69944	0.281	0.0735	0.441	0.187	0.0175
Ca	0.06788	0.2135	1.8311	0.44693	13.006	46.472	0.0283	0.17781	0.50269	0.2912	0.03312	0.17293	0.07104	0.17869	0.00797	0.00316	0.67718	0.75223	0.2805	0.0725	0.3305	0.2615	0.055
Sc	0.05936	0.20019	1.75077	0.33342	11.324	42.077	0.05064	0.23409	0.38249	0.33278	0.05004	0.22126	0.06059	0.19256	0.00654	0.00186	0.68411	0.76408	0.2795	0.0285	0.5955	0.0965	0
Ti	-0.08268	0.1993	1.8239	0.37566	14.834	37.322	0.12152	0.22691	0.34371	0.30786	0.01982	0.13205	0.06607	0.16297	0.0071	0.0338	0.67396	0.56153	0.362	0.0475	0.376	0.213	0.0015
V	-0.03834	0.24942	1.81507	0.47631	13.437	49.084	0.02105	0.1573	0.55188	0.26977	0.02999	0.15573	0.08128	0.16698	0.00184	0.00518	0.73023	0.66889	0.2525	0.0425	0.145	0.471	0.089
Cr	0.01672	0.28874	1.80672	0.49148	13.469	47.07	0.00707	0.15954	0.56001	0.27338	0.0288	0.16535	0.08314	0.18	0.00238	0.00155	0.72642	0.75551	0.249	0.0435	0.109	0.4895	0.109
Mn	-0.0303	0.25445	1.78634	0.4836	12.54111	46.64	0.01793	0.15569	0.56149	0.2649	0.03727	0.16346	0.05899	0.16401	0.00444	0.0083	0.79643	0.73905	0.27056	0.05333	0.26	0.34556	0.07056
Fe	0.03695	0.2002	1.77784	0.45324	11.981	43.515	0.03576	0.16784	0.51069	0.28571	0.04426	0.18379	0.05625	0.17224	0.00816	0.00376	0.69248	0.7583	0.25	0.068	0.426	0.222	0.034
